id,name,degree,peel,diversity,betweenness,pagerank
783,Xaro Xhoan Daxos,3,2,1.098612289,4.48E-05,0.000741878
784,Xhondo,2,2,0.693147181,0,0.000515215
785,Yandry,7,6,0.955699891,2.04E-06,0.000967965
786,Yellow Dick,3,3,1.098612289,0,0.000444504
787,Yezzan zo Qaggaz,5,3,1.33217904,5.81E-06,0.000861203
788,Ygritte,13,6,1.73265872,0.002655179,0.002400135
789,Yohn Royce,8,4,1.494175138,0.001976174,0.000829984
790,Yoren,18,8,1.875121856,0.00484853,0.001645924
791,Yorko Terys,1,1,0,0,0.000253175
792,Ysilla,6,6,0.867563228,0,0.000725298
793,Yurkhaz zo Yunzak,1,1,0,0,0.000235622
794,Zei,1,1,0,0,0.00022145
795,Zollo,4,4,1.386294361,6.34E-07,0.000385717
