id,name,degree,peel,diversity,betweenness,pagerank
440,Mandon Moore,9,9,0.683738906,2.31E-05,0.000725772
441,Manfrey Martell,1,1,0,0,0.000521197
442,Margaery Tyrell,30,12,1.995750869,0.004545928,0.004678732
443,Marghaz zo Loraq,1,1,0,0,0.000251769
444,Marillion,9,8,1.427061043,8.37E-05,0.000853962
445,Mariya Darry,2,2,0.693147181,0,0.000305805
446,Mark Mullendore,1,1,0,0,0.000215389
447,Marlon Manderly,2,2,0.693147181,0,0.000291112
448,Maron Greyjoy,1,1,0,0,0.000217715
449,Marq Piper,8,7,1.073542846,0.000177945,0.000573616
450,Marselen,2,2,0.693147181,0,0.000408268
451,Martyn Lannister,2,2,0.693147181,3.11E-05,0.000350362
452,Martyn Rivers,1,1,0,0,0.000219491
453,Marwyn,3,3,0.636514168,0.000561925,0.00046376
454,Marya Seaworth,2,2,0.693147181,0,0.000383786
455,Masha Heddle,1,1,0,0,0.000240975
456,Mathis Rowan,8,6,1.494175138,0.002588277,0.00078388
457,Matthar,1,1,0,0,0.00022145
458,Matthos Seaworth,1,1,0,0,0.000229955
459,Mebble,1,1,0,0,0.000234778
460,Meera Reed,11,8,1.414279065,0.000301138,0.002933076
461,Megga Tyrell,4,4,1.039720771,0,0.000842091
462,Melara Hetherspoon,4,2,1.039720771,0.002586857,0.000663734
463,Meldred Merlyn,2,2,0,0,0.000445556
464,Melisandre,23,8,2.088091943,0.006490368,0.004323498
465,Mellei,2,2,0.693147181,0,0.000512378
466,Meralyn,1,1,0,0,0.000285541
467,Meribald,5,3,1.054920168,1.66E-05,0.00087892
468,Meris,6,4,1.242453325,0.003065646,0.001177615
469,Mero,4,3,1.386294361,0.002515723,0.000646844
470,Merrett Frey,2,2,0.693147181,8.77E-06,0.000262151
471,Merrit,1,1,0,0,0.000224475
472,Meryn Trant,21,12,1.153741943,0.00094058,0.002872904
473,Mezzara,2,2,0.693147181,0,0.000332411
474,Mikken,5,3,1.33217904,0.000236052,0.00058564
475,Miklaz,3,2,1.098612289,0.002515723,0.000655193
476,Mirri Maz Duur,6,5,1.011404265,9.63E-06,0.000987082
477,Missandei,9,8,1.002718265,9.63E-05,0.001586885
478,Moelle,3,3,0.636514168,0,0.00063156
479,Mollander,4,4,0,3.96E-06,0.000934248
480,Monford Velaryon,3,2,1.098612289,0.002515723,0.00063116
481,Moon Boy,4,4,1.386294361,9.30E-06,0.000526634
482,Moqorro,5,4,1.609437912,0.002409717,0.001073681
483,Mord,1,1,0,0,0.000382691
484,Mordane,11,10,1.033562054,0.000477052,0.001621421
485,Moreo Tumitis,1,1,0,0,0.000219962
486,Morgo,1,1,0,0,0.000227292
487,Morra,2,2,0.693147181,0,0.000512378
488,Morrec,2,2,0.693147181,0,0.000397546
489,Mors Umber,4,4,0.562335145,0.000238248,0.000518088
490,Mully,9,6,1.522955068,3.74E-05,0.00086889
491,Munda,1,1,0,0,0.000239738
492,Murch,1,1,0,0,0.000745047
493,Murenmure,2,2,0.693147181,0,0.000513042
494,Mya Stone,5,4,1.33217904,0.000108766,0.000739087
495,Mycah,5,5,0,0,0.000805042
496,Mychel Redfort,1,1,0,0,0.000219962
497,Myles Toyne,2,2,0.693147181,0,0.000376496
498,Myranda Royce,3,3,1.098612289,2.21E-05,0.000383831
499,Myrcella Baratheon,22,11,1.790313567,0.020192887,0.003252601
500,Nage,1,1,0,0,0.000243613
501,Nan,8,6,1.732867951,0.000714461,0.001172386
502,Narbert,3,3,0.636514168,0,0.000445231
503,Narbert Grandison,6,3,1.242453325,0.000812272,0.00068425
504,Nestor Royce,7,6,1.475076311,7.73E-05,0.000805248
505,Nurse,4,3,1.386294361,1.29E-05,0.000536213
506,Nute,4,3,1.039720771,8.98E-06,0.000926631
507,Nyessos Vhassar,2,1,0.693147181,0.002515723,0.000789027
508,Nymeria Sand,4,4,1.039720771,1.81E-05,0.000856141
509,Obara Sand,6,4,1.329661349,2.49E-05,0.001299752
510,Oberyn Martell,20,10,1.941927724,0.009803338,0.002351696
511,Ogo,3,2,1.098612289,0.002515723,0.00074093
512,Old Bill Bone,1,1,0,0,0.000233822
513,Olenna Redwyne,9,8,0.848685558,0.000292522,0.000756117
514,Olyvar Frey,2,2,0.693147181,0,0.000372516
515,Orell,2,2,0.693147181,0,0.00029155
516,Orton Merryweather,10,8,1.279854226,8.14E-05,0.000620349
517,Osfryd Kettleblack,3,3,1.098612289,0,0.000420289
518,Osha,9,8,1.522955068,0.0002196,0.001322379
519,Osmund Kettleblack,18,11,1.873510521,0.000670672,0.002282676
520,Osney Kettleblack,11,7,2.019814992,0.000488439,0.001026739
521,Oswell Kettleblack,2,2,0,0,0.000272067
522,Oswell Whent,3,2,0.636514168,0.001200188,0.000680536
523,Othell Yarwyck,11,8,1.159588814,7.31E-05,0.001165994
524,Othor,1,1,0,0,0.000243455
525,Ottyn Wythers,4,4,1.039720771,1.79E-05,0.000391081
