,id,value
127,all.degree3.peel5.pagerank3.diversity4.betweenness4,1.33217904
128,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
130,all.degree3.peel6.pagerank6,1.475076311
131,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.039720771
132,all.degree3.peel5.pagerank2.diversity3.betweenness3,0.562335145
133,all.degree3.peel5.pagerank3.diversity3.betweenness6,1.011404265
135,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
138,all.degree3.peel6.pagerank3.diversity3,1.153741943
139,all.degree4.peel4.pagerank3.diversity2.betweenness5,0.940447989
140,all.degree4.peel4.pagerank5.diversity4.betweenness4,1.522699926
141,all.degree3.peel3.pagerank6.diversity2.betweenness3,0.636514168
142,all.degree4.peel3.pagerank3.diversity3.betweenness3,1.464816385
144,all.degree3.peel2,0.636514168
145,all.degree4.peel4.pagerank5.diversity4.betweenness4,1.48322096
146,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
147,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
148,all,2.181770082
150,all.degree3.peel3.pagerank3.diversity4,0.693147181
151,all.degree3.peel5.pagerank3.diversity3,1.054920168
152,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
153,all.degree3.peel6.pagerank4.diversity4.betweenness3,1.242453325
154,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.33217904
156,all.degree3.peel3.pagerank4.diversity4.betweenness5,0.636514168
157,all.degree3.peel5.pagerank4.diversity4.betweenness5,1.242453325
158,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
159,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
160,all.degree6.peel2.pagerank3.diversity4,2.120173779
161,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
163,all.degree4.peel4.pagerank2.diversity2.betweenness2,0.683738906
166,all.degree3.peel4.pagerank4.diversity3.betweenness3,1.039720771
167,all.degree3.peel5.pagerank4.diversity5.betweenness3,1.560710409
168,all.degree3.peel5.pagerank4.diversity3.betweenness5,0.950270539
169,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
170,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
174,all.degree4.peel3.pagerank3.diversity3.betweenness3,1.386294361
175,all.degree3.peel5.pagerank3.diversity5.betweenness3,1.549826046
177,all.degree4.peel3.pagerank3.diversity1,0.848685558
178,all.degree5.peel3.pagerank3.diversity4,2.045576462
179,all.degree3.peel5.pagerank3.diversity5.betweenness3,1.791759469
180,all.degree3.peel6.pagerank4.diversity2,0.450561209
182,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
183,all.degree5.peel3.pagerank4.diversity3.betweenness3,1.706770659
185,all.degree4.peel6.pagerank3.diversity4.betweenness3,0.898137003
186,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
187,all.degree4.peel3.pagerank3.diversity2.betweenness5,1.073542846
188,all.degree3.peel4.pagerank4.diversity3.betweenness3,1.039720771
189,all,2.290519575
190,all.degree5.peel3.pagerank2.diversity3,1.33999644
191,all.degree5.peel4.pagerank4.diversity4.betweenness3,2.0252303
192,all.degree3.peel5.pagerank4.diversity4.betweenness4,1.329661349
193,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.386294361
195,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
196,all.degree3.peel2.pagerank6.diversity4.betweenness2.betweenness3,0.693147181
197,all.degree4.peel3.pagerank3.diversity3.betweenness5,1.303092404
198,all.degree3.peel5.pagerank4.diversity3.betweenness3,0.950270539
199,all.degree3.peel6.pagerank2.diversity3.betweenness4,1.329661349
200,all.degree4.peel4.pagerank2.diversity3.betweenness3,0.848685558
202,all.degree3.peel5.pagerank3.diversity5.betweenness3,1.609437912
203,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
204,all.degree4.peel2.pagerank3.diversity4.betweenness3,1.559581156
206,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
